id	Category	front title	front content	back title	back content
1	Definition	What is Scrum	What is the general definition of Scrum	Scrum is a lightweight framework	It helps people, teams and organisations generate value through adaptive solutions for complex problems
2	Definition	Scrum in a nutshell	What environment is a scrum master expected to foster?	An adaptive environment	Product Owner orders the work in a product backlog; Scrum team turns the selection of work into an Increment value during a sprint, Scrum team and stakeholders inspect the results and adjust for next sprint
3	Definition	What is scrum built upon?		Collective Intelligence of the people	Scrum is an adaptive, iterative framework that builds upon the collective intelligence of the people using it. It does not provide detailed instructions, rather it provides users with a guide for relationships and interactions
4	Theory	What is Scrum founded on?	What is the key foundation to which Scrum is founded	Empiricism and Lean Thinking	Empiricism asserts that knowledge comes from experience, and decisions are made based on what is observed. Lean thinking focuses on reducing waste and only focusing on the essentials
5	Theory	What techniques does Scrum employ?	How does scrum optimise predictability and control risk?	Use Iterative, incremental approach	Scrum engages groups of people who collectively have all the skills and expertise to do the work; or can acquire such skills as needed
6	Theory	Formal Events in Scrum	How many formal events are in scrum?	There are 5 events in Scrum	The Sprint itself, Sprint planning, Daily Scrum, Sprint Review and Sprint Retrospective. These are the only 5 events that exist for scrum
7	Theory	Scrum Pillars	What are the Scrum pillars?	There are 3 pillars to Scrum	Transparency - visible to everyone involved, Inspection - inspect and review to ensure progress is towards agreed goals, and Adaption - when there is deviation from the agreed goals
8	Theory	Transparency	What is Transparency?	Visible to everyone involved	Emergent process and work must be visible to those performing in and those receiving it. Important decisions are based on the perceived state of the Three Formal Artifacts. Without transparency, the decisions made might diminish in value and increase risk of bad results
9	Theory	Inspection	What is Inspection?	Inspect and Review Progress	Transparency enables Inspection. Purpose is to review the progress and ensure its heading towards agreed goals. Inspect frequently and diligently to detect potential undesirable variances/problems. Scrum provides cadence in the form of 5 events
10	Theory	Adaption	What is Adaption?	Change in plan when deviation are detected	Adapt if inspection finds issues. If process deviates outside acceptable limits resulting product may not meet established goals. Adjustments to the plan must be made as soon as possible to minimise further deviation. Adaption works only if teams are empowered and self-managing.
11	Scrum values	Scrum Values	What are the Scrum values	There are 5 (FORCC)	Focus, Openness, Respect, Courage, and Commitment. COMMIT to achieve its goals and support each other. FOCUS is to make the best possible progress towards goals. OPEN to discuss work and challenges. RESPECT each other to be capable. COURAGE to do the right thing
12	Scrum values	Purpose of Scrum Values	Why are Scrum values important?	Give Direction to Scrum Team	The values give direction to the team regarding their WORK, ACTIONS, and BEHAVIOURS. Decisions made, steps taken, how scrum is used should reinforce, not diminish values. Applied when working with scrum EVENTS and ARTIFACTS. Combined with Pillars to build trust
13	Scrum Team	Scrum Team	Who are part of the Scrum Team	Dev team, Product Owner, Scrum Master	1 PO, 1 SM, and the Development Team. No sub teams or hierarchies. Cohesive unit of professionals focused on the PRODUCT GOAL. Cross-functional (have all the skills necessary to create value for each sprint). Self-managing (decide what when and how).
14	Scrum Team	Scrum Team Size	How big should a scrum team be?	No more than 11 people	Small teams are nimble and large enough to complete significant work. 3-9 Devs, 1 SM, 1 PO. This is because of communication efficiencies. Too large, reorg into multiple scrum team focused on the same product, with same Product Goal, Backlog and PO. 
15	Scrum Team	Scrum Team Responsibilities	What are the responsibilities of the Scrum team?	All product related activities	Stakeholder collaboration, verification, maintenance, ops, experiment, R&D, etc. Empowered by the organisation to manage their own work. Working in sprints at a SUSTAINABLE pace that improves focus and consistency
16	Scrum Team	Scrum Accountability	What is the Scrum team accountable for?	Creating valuable useful increment	Scrum defines three accountabilities and three roles; the development team, the product owner, and the scrum master
17	Scrum Team	Development Team	What is the Dev team responsible for?	Creating a useable increment each sprint	Creating the Sprint Backlog, Adhering to Definition of Done, Adapting the plan toward the Sprint goal, holding each other ACCOUNTABLE as professionals. The goal of the sprint is to create a useable, quality increment that can be released to production
18	Scrum Team	Product Owner	What is the Product Owner responsible for?	Maximising value produced by the Scrum Team	Develop and communicate CLEARLY: product goal, product backlog items (PBI). Ordering PBI, ensuring Product backlog is transparent, visible, understood. PO may delegate, but ultimately accountable. PO must be one person who represents needs of the stakeholder 
19	Scrum Team	Purpose of the Product Backlog	What is the purpose of the Product Backlog	Represent the needs of the stakeholders	The Product Backlog, its content and ordering represent the decisions of the Product owner. Order defines what order the items will be created (through the sprint and delivered increment). The whole backlog represent the needs of the stakeholders 
20	Scrum Team	Scrum Master	What is the Scrum Master responsible for?	Scrum Team Effectiveness	SM establishes scrum and teaches and facilitates. Ultimately responsible for the teams effectiveness. Includes Coaching, help team focus on creating high value increments and definition of done, remove impediments, ensure scrum EVENTS take place and productive within timebox
21	Scrum Team	Scrum Master to PO	How does the SM service the PO?	PB management, product planning, stakeholder collab	Find techniques for effective product goal and PB management; Help scrum team understand PBI; establish empirical product planning; help facilitate stakeholder collab (when needed)
22	Scrum Team	Scrum Master to Org	How does a Scrum master service the Org?	Champion Scrum adoption, remove barriers	Lead, train, coach on Scrum adoption; plan, advise Scum implementation; Help employees and stakeholders understand and enact empirical approach; and remove barriers between stakeholders and Scrum Teams
23	Scrum Events	Scrum Events	What are the Scrum Events?	There are 5 events in Scrum	The Sprint (container for all events); Each event is a formal opportunity to INSPECT and ADAPT artifacts. Designed to enable transparency. Failure to operate any events results in lost opportunities to inspect and adapt. 
24	Scrum Events	Scrum Events Purpose	What are the purpose of Scrum Events?	Create Regularity, Reduce meetings, reduce complexity	Events are used to create regularity and minimise the need for meetings not defined in Scrum. All events should be held at the same time and place to REDUCE COMPLEXITY
25	Scrum Events	The Sprint	What is a Sprint?	Fixed length events, a container for all other events	One month or less (consistency). New Sprint starts IMMEDIATELY after the previous sprint. All other events to achieve Product Goals happen within a sprint. 
26	Scrum Events	Sprint activities	Rules of a Sprint	Key points happen during a Sprint	No changes are made that endangers the SPRINT GOAL; quality does not decrease; Product Backlog is refined; Scope clarified and renegotiated with PO 
27	Scrum Events	Sprint Purpose	What is sprint duration and what does it enable?	Enable Predictability, reduce risk and costs	Predictability by ensuring INSPECTION and ADAPTION toward product goal (every calendar month). Too long, the goal may be invalid, rise in complexity, risks may increase. Short sprints to generate more learning cycles, limit risk of cost and effort. Each sprint can be considered a short project
28	Scrum Events	Ideal Sprint Length	What is the Ideal Sprint Length	No more than 1 month	1 - 4 weeks, no more than 4 weeks per sprint. Duration of Sprint must not change during the sprint. Duration can be changed during retro by PO, but should not be done too frequently (consistency)
29	Scrum Events	Cancelling a Sprint	When can a Sprint be cancelled and by whom?	Only PO has authority to cancel (not even CEO)	Cancelled if the sprint goal becomes obsolete. And Only the PO can cancel the sprint
30	Scrum Events	Sprint Planning	What is Sprint planning?	Initiates sprint by laying out work performed	Collaborative plan by the entire scrum team. PO ensures only most important PBI are discussed and how they map to Product Goal. Scrum team may invite others to attend to provide ADVICE (e.g. technical)
31	Scrum Events	Sprint Planning Topics	What are the topics in Sprint Planning?	Why, What, How	Why is this sprint valuable; What can be DONE in this sprint; How will the chosen work get DONE?
32	Scrum Events	Sprint Value	Why is this Sprint Valuable? (Sprint Goal)	PO proposes to increase value and utility	PO proposes how the product could increase its value and utility in the current Sprint. The whole scrum team collaborates to define a SPRINT GOAL that communicates why the Sprint is valuable to stakeholders. It must be finalised prior to the end of the Sprint Planning.
33	Scrum Events	Definition of Done	What can be Done this Sprint?	Developers select items in product backlog	Through discussion with PO, development team selects items from the product backlog to include in current sprint. Scrum team will refine these items during this time; increases understanding and confidence. Use empirical knowledge to know capacity (and consider definition of done) for better forecast
34	Scrum Events	Increment	How will the work get done?	For each PBI, plan Increment that meets Def of Done	Decompose PBI into smaller work items of one day or less. Done by development team who is responsible for turning PBI into increment of value. Sprint Goal, PBI, and plan for delivering them are considered the Sprint Backlog. Timeboxed to eight hours for one month sprint, shorter for shorter sprints
35	Scrum Events	Daily Scrum	What is the Daily Scrum?	Inspect and Adapt	Purpose is the inspect progress towards Sprint goal, and adapt sprint backlog as necessary. 15 minutes for the development team; held at same time and place. If PO / SM actively working on items they attend as development team.
36	Scrum Events	Purpose of Daily Scrum	What is the Purpose of the Daily Scrum	Focus on progress toward Sprint Goal	Development team can use whatever structure for the scrum; however it must focus on progress toward Sprint goal and actionable plan for the next day of work. Creates focus and improves self management. 
37	Scrum Events	Adjustments and Purpose	How is daily scrum adjusted?	Dev Team can meet throughout the day	Daily Scrums improve comms, identify impediments, promote quick decision making (reduces need for meetings). Its not the only time developers can adjust their plan. They often meet throughout the day for detailed discussions adapting/replanning the rest of the Sprint's work
38	Scrum Events	Sprint Review	What is the Sprint review	Inspect outcomes of sprint and adapt	Scrum Team presents results and progress toward the product goal is discussed. Review allows for inspection of the outcomes of the sprint and to determine future adaptions.
39	Scrum Events	Components of Sprint Review	What are the components of a sprint review?	Review, discuss, adjust backlog	Review what was accomplished in the sprint and what has changed. Collaborate on what to do next. Product Backlog adjusted (to meet new opportunities). Sprint review is working session and should avoid being a presentation. It is timeboxed to a maximum of four hours for 1 month sprint. Shorter for shorter sprints
40	Scrum Events	Sprint Retrospective	What is a Sprint Retrospective?	Plan ways to increase quality and effectiveness	Scrum Team inspects how last sprint went based on individuals, interactions, tools, and definition of done. Assumptions that led team astray and origin explored. Discuss what went well, problems, and how they were solved. What to try next time (can be added to sprint backlog next sprint). Retro concludes sprint.
41	Scrum Events	Sprint Retro Timebox	What is the max amount of time for a Sprint Retrospective?	3 hours for 1 month sprint	For shorter sprints, the event is usually shorter.
42	Scrum Artifacts	Scrum Artifacts	What are scrum artifacts?	Represents work or value	Artifacts are designed to maximise transparency of key information; everyone inspecting them has the same basis for adaption. Each has commitment to ensure it provides information that enhances transparency and focus against which progress can be measured
43	Scrum Artifacts	Product Backlog	What is the product backlog?	Product backlog measures progress of product goal	Emergent ordered list of what needs to be improved on product. Single source of work by scrum team. 
44	Scrum Artifacts	Product Backlog Refinement	What is Product Backlog Refinement?		 
45	Scrum Artifacts	PBI Sizing	Who is responsible for PBI Sizing?	Developer working on the item	PO may influence developers by helping them understand and select trade-offs
46	Scrum Artifacts	Product Goals	What is a Product Goal?	Describes future state of the Product	It serves as a target for the scrum team to plan against. A product goal is in the product backlog. The rest of the product backlog emerges to define what will fulfil this goal. Product Goal is a long-term objective for the SCRUM TEAM.
47	Scrum Artifacts	Product	What is a Product?	A vehicle to Deliver Value	Clear boundaries, known stakeholders, well-defined users/customers. Can be a product, service, or something more abstract
48	Scrum Artifacts	Sprint Backlog	What is a Sprint Backlog?	Sprint backlog measures progress of sprint goal	Comprised of a Sprint Goal (why), the PBI selected for the sprint (what), and actionable plan for delivering the Increment (how). It is a plan by and for development team. Highly visible, real-time picture of work the devs plan to accomplish during the sprint in order to achieve the Sprint Goal
49	Scrum Artifacts	Sprint Backlog items	What should be in the Sprint Backlog?	Sprint Goal, PBI, and Increment plan	The Sprint backlog is updated throughout the sprint as more is learned. It should have enough detail that they can inspect their progress in the Daily Scrum
50	Scrum Artifacts	Sprint Goals	What is a Sprint Goal?	Single Objective for the Sprint	Sprint Goal is a COMMITMENT made by the developers; it provides flexibility in terms of the exact work needed to achieve it. Creates coherence and focus, encouraging Scrum Team to work together.
51	Scrum Artifacts	Sprint Goal Creation	When is the Sprint Goal Created?	During Sprint Planning EVENT	Created during Sprint Planning and added to the Sprint Backlog. As the developers work during the sprint they keep the Sprint Goal in mind. If the work turns out to be different, they collaborate with the Product Owner to nego scope of the Sprint Backlog without impacting Sprint Goal
52	Scrum Artifacts	Increment	What is an Increment?	Increment measures progress of definition of done	A concrete stepping stone TOWARDS the Product Goal. Each Increment is additive to prior increments and thoroughly VERIFIED to ensure they work together. To provide value, each Increment MUST BE USEABLE
53	Scrum Artifacts	Increment within Sprint	How many increments in a Sprint?	As many as required	Multiple Increments can be created. The Sum of the Increments are presented in the Sprint Review. Increment may be delivered to stakeholders PRIOR to end of sprint. Sprint review is not to be considered a GATE to releasing value
54	Scrum Artifacts	Work is done	When is work considered part of an Increment?	When it meets definition of done	Work cannot be considered part of the increment unless it meets the definition of done
